"playoff","pt_seq","pop_mean","pop_sd","zscore","prob","prob_pct"
"y",5.1,3.05735294117647,2.82783113724848,4.01883468538672,0.764956344867287,"76.5%"
"y",5.2,3.05735294117647,2.82783113724848,4.11883468538672,0.775684637616941,"77.6%"
"y",5.3,3.05735294117647,2.82783113724848,4.21883468538672,0.786129318549661,"78.6%"
"y",5.4,3.05735294117647,2.82783113724848,4.31883468538672,0.796285178396611,"79.6%"
"y",5.5,3.05735294117647,2.82783113724848,4.41883468538672,0.806147863788288,"80.6%"
"y",5.6,3.05735294117647,2.82783113724848,4.51883468538672,0.815713869160912,"81.6%"
"y",5.7,3.05735294117647,2.82783113724848,4.61883468538672,0.824980524721374,"82.5%"
"y",5.8,3.05735294117647,2.82783113724848,4.71883468538672,0.833945980660918,"83.4%"
"y",5.9,3.05735294117647,2.82783113724848,4.81883468538672,0.842609187829664,"84.3%"
"y",6,3.05735294117647,2.82783113724848,4.91883468538672,0.850969875103549,"85.1%"
"y",6.1,3.05735294117647,2.82783113724848,5.01883468538672,0.859028523692159,"85.9%"
"y",6.2,3.05735294117647,2.82783113724848,5.11883468538672,0.866786338650009,"86.7%"
"y",6.3,3.05735294117647,2.82783113724848,5.21883468538672,0.87424521786533,"87.4%"
"y",6.4,3.05735294117647,2.82783113724848,5.31883468538672,0.881407718809021,"88.1%"
"y",6.5,3.05735294117647,2.82783113724848,5.41883468538672,0.888277023332382,"88.8%"
"y",6.6,3.05735294117647,2.82783113724848,5.51883468538672,0.894856900805446,"89.5%"
"y",6.7,3.05735294117647,2.82783113724848,5.61883468538672,0.90115166988834,"90.1%"
"y",6.8,3.05735294117647,2.82783113724848,5.71883468538672,0.907166159226154,"90.7%"
"y",6.9,3.05735294117647,2.82783113724848,5.81883468538672,0.912905667353469,"91.3%"
"y",7,3.05735294117647,2.82783113724848,5.91883468538672,0.918375922088106,"91.8%"
"y",7.1,3.05735294117647,2.82783113724848,6.01883468538672,0.923583039684938,"92.4%"
"y",7.2,3.05735294117647,2.82783113724848,6.11883468538672,0.928533484010002,"92.9%"
"y",7.3,3.05735294117647,2.82783113724848,6.21883468538672,0.933234025982802,"93.3%"
"y",7.4,3.05735294117647,2.82783113724848,6.31883468538672,0.937691703520793,"93.8%"
"y",7.5,3.05735294117647,2.82783113724848,6.41883468538672,0.941913782204883,"94.2%"
"y",7.6,3.05735294117647,2.82783113724848,6.51883468538672,0.94590771686843,"94.6%"
"y",7.7,3.05735294117647,2.82783113724848,6.61883468538672,0.949681114295066,"95%"
"y",7.8,3.05735294117647,2.82783113724848,6.71883468538672,0.953241697192778,"95.3%"
"y",7.9,3.05735294117647,2.82783113724848,6.81883468538672,0.956597269593337,"95.7%"
"y",8,3.05735294117647,2.82783113724848,6.91883468538672,0.959755683807564,"96%"
"y",8.1,3.05735294117647,2.82783113724848,7.01883468538672,0.96272480904823,"96.3%"
"y",8.2,3.05735294117647,2.82783113724848,7.11883468538672,0.96551250181384,"96.6%"
"y",8.3,3.05735294117647,2.82783113724848,7.21883468538672,0.968126578108254,"96.8%"
"y",8.4,3.05735294117647,2.82783113724848,7.31883468538672,0.970574787553284,"97.1%"
"y",8.5,3.05735294117647,2.82783113724848,7.41883468538672,0.972864789434172,"97.3%"
"y",8.6,3.05735294117647,2.82783113724848,7.51883468538672,0.975004130701325,"97.5%"
"y",8.7,3.05735294117647,2.82783113724848,7.61883468538672,0.97700022593605,"97.7%"
"y",8.8,3.05735294117647,2.82783113724848,7.71883468538672,0.978860339273252,"97.9%"
"y",8.9,3.05735294117647,2.82783113724848,7.81883468538672,0.980591568260391,"98.1%"
"y",9,3.05735294117647,2.82783113724848,7.91883468538672,0.982200829619328,"98.2%"
"y",9.1,3.05735294117647,2.82783113724848,8.01883468538672,0.983694846866221,"98.4%"
"y",9.2,3.05735294117647,2.82783113724848,8.11883468538672,0.985080139734283,"98.5%"
"y",9.3,3.05735294117647,2.82783113724848,8.21883468538672,0.986363015335094,"98.6%"
"y",9.4,3.05735294117647,2.82783113724848,8.31883468538672,0.987549560986193,"98.8%"
"y",9.5,3.05735294117647,2.82783113724848,8.41883468538672,0.988645638625911,"98.9%"
"y",9.6,3.05735294117647,2.82783113724848,8.51883468538672,0.989656880730807,"99%"
"y",9.7,3.05735294117647,2.82783113724848,8.61883468538672,0.990588687646578,"99.1%"
"y",9.8,3.05735294117647,2.82783113724848,8.71883468538672,0.991446226239931,"99.1%"
"y",9.9,3.05735294117647,2.82783113724848,8.81883468538672,0.992234429776561,"99.2%"
"y",10,3.05735294117647,2.82783113724848,8.91883468538672,0.99295799892898,"99.3%"
"y",10.1,3.05735294117647,2.82783113724848,9.01883468538672,0.993621403817519,"99.4%"
"y",10.2,3.05735294117647,2.82783113724848,9.11883468538672,0.994228886988178,"99.4%"
"y",10.3,3.05735294117647,2.82783113724848,9.21883468538672,0.994784467232201,"99.5%"
"y",10.4,3.05735294117647,2.82783113724848,9.31883468538672,0.995291944154087,"99.5%"
